strategy,ImmediateExit
run,4
turns,10000
total_landings_recorded,11998
index,square,count,percentage
0,GO,287,0.02870000
1,Mediterranean Avenue,291,0.02910000
2,Community Chest,269,0.02690000
3,Baltic Avenue,267,0.02670000
4,Income Tax,359,0.03590000
5,Reading Railroad,303,0.03030000
6,Oriental Avenue,310,0.03100000
7,Chance,323,0.03230000
8,Vermont Avenue,315,0.03150000
9,Connecticut Avenue,307,0.03070000
10,In Jail (Just Visiting),307,0.03070000
11,St. Charles Place,305,0.03050000
12,Electric Company,258,0.02580000
13,States Avenue,298,0.02980000
14,Virginia Avenue,338,0.03380000
15,Pennsylvania Railroad,308,0.03080000
16,St. James Place,277,0.02770000
17,Community Chest,303,0.03030000
18,Tennessee Avenue,316,0.03160000
19,New York Avenue,326,0.03260000
20,Free Parking,300,0.03000000
21,Kentucky Avenue,309,0.03090000
22,Chance,309,0.03090000
23,Indiana Avenue,292,0.02920000
24,Illinois Avenue,290,0.02900000
25,B&O Railroad,292,0.02920000
26,Atlantic Avenue,337,0.03370000
27,Ventnor Avenue,270,0.02700000
28,Water Works,277,0.02770000
29,Marvin Gardens,271,0.02710000
30,Go to Jail,317,0.03170000
31,Pacific Avenue,261,0.02610000
32,North Carolina Avenue,298,0.02980000
33,Community Chest,329,0.03290000
34,Pennsylvania Avenue,313,0.03130000
35,Short Line Railroad,284,0.02840000
36,Chance,290,0.02900000
37,Park Place,298,0.02980000
38,Luxury Tax,318,0.03180000
39,Boardwalk,276,0.02760000
