strategy,ImmediateExit
run,2
turns,100000
total_landings_recorded,119489
index,square,count,percentage
0,GO,2826,0.02826000
1,Mediterranean Avenue,2737,0.02737000
2,Community Chest,2822,0.02822000
3,Baltic Avenue,2915,0.02915000
4,Income Tax,3221,0.03221000
5,Reading Railroad,3051,0.03051000
6,Oriental Avenue,3216,0.03216000
7,Chance,3276,0.03276000
8,Vermont Avenue,3263,0.03263000
9,Connecticut Avenue,3217,0.03217000
10,In Jail (Just Visiting),2999,0.02999000
11,St. Charles Place,3089,0.03089000
12,Electric Company,3011,0.03011000
13,States Avenue,2929,0.02929000
14,Virginia Avenue,2958,0.02958000
15,Pennsylvania Railroad,3040,0.03040000
16,St. James Place,2890,0.02890000
17,Community Chest,3063,0.03063000
18,Tennessee Avenue,2988,0.02988000
19,New York Avenue,3287,0.03287000
20,Free Parking,3013,0.03013000
21,Kentucky Avenue,3085,0.03085000
22,Chance,2962,0.02962000
23,Indiana Avenue,3014,0.03014000
24,Illinois Avenue,3035,0.03035000
25,B&O Railroad,2859,0.02859000
26,Atlantic Avenue,2879,0.02879000
27,Ventnor Avenue,2892,0.02892000
28,Water Works,2839,0.02839000
29,Marvin Gardens,2722,0.02722000
30,Go to Jail,2847,0.02847000
31,Pacific Avenue,2794,0.02794000
32,North Carolina Avenue,2848,0.02848000
33,Community Chest,3121,0.03121000
34,Pennsylvania Avenue,2985,0.02985000
35,Short Line Railroad,2976,0.02976000
36,Chance,2934,0.02934000
37,Park Place,3040,0.03040000
38,Luxury Tax,2928,0.02928000
39,Boardwalk,2918,0.02918000
