strategy,ImmediateExit
run,6
turns,1000000
total_landings_recorded,1197101
index,square,count,percentage
0,GO,28291,0.02829100
1,Mediterranean Avenue,28196,0.02819600
2,Community Chest,28728,0.02872800
3,Baltic Avenue,28801,0.02880100
4,Income Tax,31682,0.03168200
5,Reading Railroad,30688,0.03068800
6,Oriental Avenue,31987,0.03198700
7,Chance,33039,0.03303900
8,Vermont Avenue,32390,0.03239000
9,Connecticut Avenue,31635,0.03163500
10,In Jail (Just Visiting),31256,0.03125600
11,St. Charles Place,30631,0.03063100
12,Electric Company,30040,0.03004000
13,States Avenue,29176,0.02917600
14,Virginia Avenue,29051,0.02905100
15,Pennsylvania Railroad,29744,0.02974400
16,St. James Place,30277,0.03027700
17,Community Chest,30345,0.03034500
18,Tennessee Avenue,29935,0.02993500
19,New York Avenue,32875,0.03287500
20,Free Parking,30450,0.03045000
21,Kentucky Avenue,30408,0.03040800
22,Chance,30215,0.03021500
23,Indiana Avenue,29976,0.02997600
24,Illinois Avenue,29295,0.02929500
25,B&O Railroad,29386,0.02938600
26,Atlantic Avenue,28987,0.02898700
27,Ventnor Avenue,28639,0.02863900
28,Water Works,28209,0.02820900
29,Marvin Gardens,27862,0.02786200
30,Go to Jail,28043,0.02804300
31,Pacific Avenue,28305,0.02830500
32,North Carolina Avenue,28686,0.02868600
33,Community Chest,31081,0.03108100
34,Pennsylvania Avenue,29630,0.02963000
35,Short Line Railroad,29935,0.02993500
36,Chance,29999,0.02999900
37,Park Place,30307,0.03030700
38,Luxury Tax,30124,0.03012400
39,Boardwalk,28797,0.02879700
