strategy,ImmediateExit
run,6
turns,1000
total_landings_recorded,1198
index,square,count,percentage
0,GO,36,0.03600000
1,Mediterranean Avenue,22,0.02200000
2,Community Chest,28,0.02800000
3,Baltic Avenue,36,0.03600000
4,Income Tax,21,0.02100000
5,Reading Railroad,33,0.03300000
6,Oriental Avenue,33,0.03300000
7,Chance,26,0.02600000
8,Vermont Avenue,37,0.03700000
9,Connecticut Avenue,36,0.03600000
10,In Jail (Just Visiting),30,0.03000000
11,St. Charles Place,20,0.02000000
12,Electric Company,31,0.03100000
13,States Avenue,31,0.03100000
14,Virginia Avenue,36,0.03600000
15,Pennsylvania Railroad,25,0.02500000
16,St. James Place,44,0.04400000
17,Community Chest,27,0.02700000
18,Tennessee Avenue,32,0.03200000
19,New York Avenue,27,0.02700000
20,Free Parking,26,0.02600000
21,Kentucky Avenue,28,0.02800000
22,Chance,31,0.03100000
23,Indiana Avenue,42,0.04200000
24,Illinois Avenue,31,0.03100000
25,B&O Railroad,25,0.02500000
26,Atlantic Avenue,32,0.03200000
27,Ventnor Avenue,27,0.02700000
28,Water Works,24,0.02400000
29,Marvin Gardens,29,0.02900000
30,Go to Jail,20,0.02000000
31,Pacific Avenue,32,0.03200000
32,North Carolina Avenue,34,0.03400000
33,Community Chest,29,0.02900000
34,Pennsylvania Avenue,35,0.03500000
35,Short Line Railroad,34,0.03400000
36,Chance,25,0.02500000
37,Park Place,20,0.02000000
38,Luxury Tax,35,0.03500000
39,Boardwalk,28,0.02800000
