strategy,TryForDoubles
run,4
turns,1000000
total_landings_recorded,1196135
index,square,count,percentage
0,GO,28427,0.02842700
1,Mediterranean Avenue,27956,0.02795600
2,Community Chest,28512,0.02851200
3,Baltic Avenue,28738,0.02873800
4,Income Tax,31909,0.03190900
5,Reading Railroad,30814,0.03081400
6,Oriental Avenue,31864,0.03186400
7,Chance,32916,0.03291600
8,Vermont Avenue,32675,0.03267500
9,Connecticut Avenue,31836,0.03183600
10,In Jail (Just Visiting),30846,0.03084600
11,St. Charles Place,30638,0.03063800
12,Electric Company,29950,0.02995000
13,States Avenue,28842,0.02884200
14,Virginia Avenue,29178,0.02917800
15,Pennsylvania Railroad,29690,0.02969000
16,St. James Place,30169,0.03016900
17,Community Chest,30176,0.03017600
18,Tennessee Avenue,30318,0.03031800
19,New York Avenue,32979,0.03297900
20,Free Parking,30436,0.03043600
21,Kentucky Avenue,30263,0.03026300
22,Chance,30084,0.03008400
23,Indiana Avenue,30045,0.03004500
24,Illinois Avenue,29527,0.02952700
25,B&O Railroad,29268,0.02926800
26,Atlantic Avenue,28484,0.02848400
27,Ventnor Avenue,28701,0.02870100
28,Water Works,28032,0.02803200
29,Marvin Gardens,27919,0.02791900
30,Go to Jail,28354,0.02835400
31,Pacific Avenue,28288,0.02828800
32,North Carolina Avenue,28577,0.02857700
33,Community Chest,31155,0.03115500
34,Pennsylvania Avenue,29715,0.02971500
35,Short Line Railroad,29975,0.02997500
36,Chance,29750,0.02975000
37,Park Place,30532,0.03053200
38,Luxury Tax,29652,0.02965200
39,Boardwalk,28945,0.02894500
