strategy,TryForDoubles
run,4
turns,100000
total_landings_recorded,119558
index,square,count,percentage
0,GO,2906,0.02906000
1,Mediterranean Avenue,2760,0.02760000
2,Community Chest,2872,0.02872000
3,Baltic Avenue,2816,0.02816000
4,Income Tax,3226,0.03226000
5,Reading Railroad,3054,0.03054000
6,Oriental Avenue,3189,0.03189000
7,Chance,3251,0.03251000
8,Vermont Avenue,3312,0.03312000
9,Connecticut Avenue,3204,0.03204000
10,In Jail (Just Visiting),3168,0.03168000
11,St. Charles Place,3015,0.03015000
12,Electric Company,2955,0.02955000
13,States Avenue,2943,0.02943000
14,Virginia Avenue,2916,0.02916000
15,Pennsylvania Railroad,2995,0.02995000
16,St. James Place,2997,0.02997000
17,Community Chest,3086,0.03086000
18,Tennessee Avenue,3053,0.03053000
19,New York Avenue,3271,0.03271000
20,Free Parking,2997,0.02997000
21,Kentucky Avenue,2962,0.02962000
22,Chance,3063,0.03063000
23,Indiana Avenue,3033,0.03033000
24,Illinois Avenue,2971,0.02971000
25,B&O Railroad,2971,0.02971000
26,Atlantic Avenue,2855,0.02855000
27,Ventnor Avenue,2763,0.02763000
28,Water Works,2792,0.02792000
29,Marvin Gardens,2829,0.02829000
30,Go to Jail,2767,0.02767000
31,Pacific Avenue,2779,0.02779000
32,North Carolina Avenue,2865,0.02865000
33,Community Chest,3155,0.03155000
34,Pennsylvania Avenue,2970,0.02970000
35,Short Line Railroad,3040,0.03040000
36,Chance,3057,0.03057000
37,Park Place,3002,0.03002000
38,Luxury Tax,2921,0.02921000
39,Boardwalk,2777,0.02777000
