strategy,TryForDoubles
run,10
turns,100000
total_landings_recorded,119609
index,square,count,percentage
0,GO,2808,0.02808000
1,Mediterranean Avenue,2836,0.02836000
2,Community Chest,2838,0.02838000
3,Baltic Avenue,2842,0.02842000
4,Income Tax,3138,0.03138000
5,Reading Railroad,3117,0.03117000
6,Oriental Avenue,3235,0.03235000
7,Chance,3275,0.03275000
8,Vermont Avenue,3274,0.03274000
9,Connecticut Avenue,3168,0.03168000
10,In Jail (Just Visiting),3161,0.03161000
11,St. Charles Place,3065,0.03065000
12,Electric Company,2898,0.02898000
13,States Avenue,2922,0.02922000
14,Virginia Avenue,2868,0.02868000
15,Pennsylvania Railroad,2959,0.02959000
16,St. James Place,3022,0.03022000
17,Community Chest,3004,0.03004000
18,Tennessee Avenue,2982,0.02982000
19,New York Avenue,3325,0.03325000
20,Free Parking,3031,0.03031000
21,Kentucky Avenue,3049,0.03049000
22,Chance,3040,0.03040000
23,Indiana Avenue,2997,0.02997000
24,Illinois Avenue,3050,0.03050000
25,B&O Railroad,2869,0.02869000
26,Atlantic Avenue,2808,0.02808000
27,Ventnor Avenue,2823,0.02823000
28,Water Works,2855,0.02855000
29,Marvin Gardens,2753,0.02753000
30,Go to Jail,2806,0.02806000
31,Pacific Avenue,2872,0.02872000
32,North Carolina Avenue,2925,0.02925000
33,Community Chest,3178,0.03178000
34,Pennsylvania Avenue,2881,0.02881000
35,Short Line Railroad,2997,0.02997000
36,Chance,3001,0.03001000
37,Park Place,3074,0.03074000
38,Luxury Tax,2918,0.02918000
39,Boardwalk,2945,0.02945000
