strategy,TryForDoubles
run,10
turns,1000
total_landings_recorded,1195
index,square,count,percentage
0,GO,28,0.02800000
1,Mediterranean Avenue,36,0.03600000
2,Community Chest,30,0.03000000
3,Baltic Avenue,23,0.02300000
4,Income Tax,33,0.03300000
5,Reading Railroad,28,0.02800000
6,Oriental Avenue,41,0.04100000
7,Chance,27,0.02700000
8,Vermont Avenue,29,0.02900000
9,Connecticut Avenue,36,0.03600000
10,In Jail (Just Visiting),36,0.03600000
11,St. Charles Place,27,0.02700000
12,Electric Company,27,0.02700000
13,States Avenue,31,0.03100000
14,Virginia Avenue,29,0.02900000
15,Pennsylvania Railroad,31,0.03100000
16,St. James Place,26,0.02600000
17,Community Chest,28,0.02800000
18,Tennessee Avenue,20,0.02000000
19,New York Avenue,38,0.03800000
20,Free Parking,30,0.03000000
21,Kentucky Avenue,40,0.04000000
22,Chance,24,0.02400000
23,Indiana Avenue,27,0.02700000
24,Illinois Avenue,28,0.02800000
25,B&O Railroad,30,0.03000000
26,Atlantic Avenue,21,0.02100000
27,Ventnor Avenue,27,0.02700000
28,Water Works,31,0.03100000
29,Marvin Gardens,48,0.04800000
30,Go to Jail,19,0.01900000
31,Pacific Avenue,36,0.03600000
32,North Carolina Avenue,30,0.03000000
33,Community Chest,26,0.02600000
34,Pennsylvania Avenue,22,0.02200000
35,Short Line Railroad,32,0.03200000
36,Chance,35,0.03500000
37,Park Place,27,0.02700000
38,Luxury Tax,29,0.02900000
39,Boardwalk,29,0.02900000
