strategy,TryForDoubles
run,10
turns,1000000
total_landings_recorded,1195743
index,square,count,percentage
0,GO,28304,0.02830400
1,Mediterranean Avenue,27932,0.02793200
2,Community Chest,28717,0.02871700
3,Baltic Avenue,28526,0.02852600
4,Income Tax,31815,0.03181500
5,Reading Railroad,30708,0.03070800
6,Oriental Avenue,31861,0.03186100
7,Chance,32995,0.03299500
8,Vermont Avenue,32547,0.03254700
9,Connecticut Avenue,31830,0.03183000
10,In Jail (Just Visiting),31281,0.03128100
11,St. Charles Place,30597,0.03059700
12,Electric Company,29991,0.02999100
13,States Avenue,28764,0.02876400
14,Virginia Avenue,29049,0.02904900
15,Pennsylvania Railroad,29758,0.02975800
16,St. James Place,30060,0.03006000
17,Community Chest,30110,0.03011000
18,Tennessee Avenue,30541,0.03054100
19,New York Avenue,32466,0.03246600
20,Free Parking,30401,0.03040100
21,Kentucky Avenue,30300,0.03030000
22,Chance,30099,0.03009900
23,Indiana Avenue,30058,0.03005800
24,Illinois Avenue,29466,0.02946600
25,B&O Railroad,29323,0.02932300
26,Atlantic Avenue,29106,0.02910600
27,Ventnor Avenue,28489,0.02848900
28,Water Works,28223,0.02822300
29,Marvin Gardens,27753,0.02775300
30,Go to Jail,28070,0.02807000
31,Pacific Avenue,28264,0.02826400
32,North Carolina Avenue,28742,0.02874200
33,Community Chest,31124,0.03112400
34,Pennsylvania Avenue,29602,0.02960200
35,Short Line Railroad,30038,0.03003800
36,Chance,29778,0.02977800
37,Park Place,30285,0.03028500
38,Luxury Tax,29719,0.02971900
39,Boardwalk,29051,0.02905100
