strategy,TryForDoubles
run,2
turns,1000000
total_landings_recorded,1195746
index,square,count,percentage
0,GO,28395,0.02839500
1,Mediterranean Avenue,27820,0.02782000
2,Community Chest,28121,0.02812100
3,Baltic Avenue,28653,0.02865300
4,Income Tax,32043,0.03204300
5,Reading Railroad,30646,0.03064600
6,Oriental Avenue,31888,0.03188800
7,Chance,33221,0.03322100
8,Vermont Avenue,32624,0.03262400
9,Connecticut Avenue,31651,0.03165100
10,In Jail (Just Visiting),31345,0.03134500
11,St. Charles Place,30554,0.03055400
12,Electric Company,29698,0.02969800
13,States Avenue,28925,0.02892500
14,Virginia Avenue,29139,0.02913900
15,Pennsylvania Railroad,29536,0.02953600
16,St. James Place,30108,0.03010800
17,Community Chest,30643,0.03064300
18,Tennessee Avenue,30503,0.03050300
19,New York Avenue,32413,0.03241300
20,Free Parking,30487,0.03048700
21,Kentucky Avenue,30133,0.03013300
22,Chance,30121,0.03012100
23,Indiana Avenue,30119,0.03011900
24,Illinois Avenue,29684,0.02968400
25,B&O Railroad,28951,0.02895100
26,Atlantic Avenue,28887,0.02888700
27,Ventnor Avenue,28783,0.02878300
28,Water Works,27992,0.02799200
29,Marvin Gardens,27880,0.02788000
30,Go to Jail,28010,0.02801000
31,Pacific Avenue,28313,0.02831300
32,North Carolina Avenue,28914,0.02891400
33,Community Chest,31067,0.03106700
34,Pennsylvania Avenue,29496,0.02949600
35,Short Line Railroad,29766,0.02976600
36,Chance,30133,0.03013300
37,Park Place,30539,0.03053900
38,Luxury Tax,29496,0.02949600
39,Boardwalk,29049,0.02904900
