strategy,ImmediateExit
run,3
turns,10000
total_landings_recorded,11953
index,square,count,percentage
0,GO,309,0.03090000
1,Mediterranean Avenue,296,0.02960000
2,Community Chest,268,0.02680000
3,Baltic Avenue,261,0.02610000
4,Income Tax,310,0.03100000
5,Reading Railroad,309,0.03090000
6,Oriental Avenue,305,0.03050000
7,Chance,318,0.03180000
8,Vermont Avenue,355,0.03550000
9,Connecticut Avenue,315,0.03150000
10,In Jail (Just Visiting),321,0.03210000
11,St. Charles Place,307,0.03070000
12,Electric Company,284,0.02840000
13,States Avenue,322,0.03220000
14,Virginia Avenue,287,0.02870000
15,Pennsylvania Railroad,307,0.03070000
16,St. James Place,287,0.02870000
17,Community Chest,326,0.03260000
18,Tennessee Avenue,321,0.03210000
19,New York Avenue,320,0.03200000
20,Free Parking,289,0.02890000
21,Kentucky Avenue,299,0.02990000
22,Chance,305,0.03050000
23,Indiana Avenue,296,0.02960000
24,Illinois Avenue,294,0.02940000
25,B&O Railroad,292,0.02920000
26,Atlantic Avenue,296,0.02960000
27,Ventnor Avenue,263,0.02630000
28,Water Works,295,0.02950000
29,Marvin Gardens,281,0.02810000
30,Go to Jail,261,0.02610000
31,Pacific Avenue,299,0.02990000
32,North Carolina Avenue,285,0.02850000
33,Community Chest,327,0.03270000
34,Pennsylvania Avenue,287,0.02870000
35,Short Line Railroad,293,0.02930000
36,Chance,294,0.02940000
37,Park Place,291,0.02910000
38,Luxury Tax,300,0.03000000
39,Boardwalk,278,0.02780000
