strategy,ImmediateExit
run,3
turns,1000
total_landings_recorded,1221
index,square,count,percentage
0,GO,40,0.04000000
1,Mediterranean Avenue,27,0.02700000
2,Community Chest,25,0.02500000
3,Baltic Avenue,26,0.02600000
4,Income Tax,34,0.03400000
5,Reading Railroad,35,0.03500000
6,Oriental Avenue,37,0.03700000
7,Chance,26,0.02600000
8,Vermont Avenue,29,0.02900000
9,Connecticut Avenue,30,0.03000000
10,In Jail (Just Visiting),34,0.03400000
11,St. Charles Place,29,0.02900000
12,Electric Company,32,0.03200000
13,States Avenue,28,0.02800000
14,Virginia Avenue,30,0.03000000
15,Pennsylvania Railroad,34,0.03400000
16,St. James Place,35,0.03500000
17,Community Chest,30,0.03000000
18,Tennessee Avenue,26,0.02600000
19,New York Avenue,38,0.03800000
20,Free Parking,24,0.02400000
21,Kentucky Avenue,34,0.03400000
22,Chance,40,0.04000000
23,Indiana Avenue,30,0.03000000
24,Illinois Avenue,26,0.02600000
25,B&O Railroad,31,0.03100000
26,Atlantic Avenue,28,0.02800000
27,Ventnor Avenue,38,0.03800000
28,Water Works,19,0.01900000
29,Marvin Gardens,35,0.03500000
30,Go to Jail,32,0.03200000
31,Pacific Avenue,22,0.02200000
32,North Carolina Avenue,28,0.02800000
33,Community Chest,28,0.02800000
34,Pennsylvania Avenue,31,0.03100000
35,Short Line Railroad,37,0.03700000
36,Chance,28,0.02800000
37,Park Place,31,0.03100000
38,Luxury Tax,27,0.02700000
39,Boardwalk,27,0.02700000
