strategy,ImmediateExit
run,3
turns,1000000
total_landings_recorded,1195809
index,square,count,percentage
0,GO,28394,0.02839400
1,Mediterranean Avenue,28173,0.02817300
2,Community Chest,28380,0.02838000
3,Baltic Avenue,28496,0.02849600
4,Income Tax,31868,0.03186800
5,Reading Railroad,30864,0.03086400
6,Oriental Avenue,31928,0.03192800
7,Chance,33048,0.03304800
8,Vermont Avenue,32832,0.03283200
9,Connecticut Avenue,31883,0.03188300
10,In Jail (Just Visiting),30985,0.03098500
11,St. Charles Place,30561,0.03056100
12,Electric Company,29911,0.02991100
13,States Avenue,29449,0.02944900
14,Virginia Avenue,29164,0.02916400
15,Pennsylvania Railroad,29618,0.02961800
16,St. James Place,29993,0.02999300
17,Community Chest,30215,0.03021500
18,Tennessee Avenue,30205,0.03020500
19,New York Avenue,32536,0.03253600
20,Free Parking,30728,0.03072800
21,Kentucky Avenue,30059,0.03005900
22,Chance,30409,0.03040900
23,Indiana Avenue,30134,0.03013400
24,Illinois Avenue,29423,0.02942300
25,B&O Railroad,28959,0.02895900
26,Atlantic Avenue,28925,0.02892500
27,Ventnor Avenue,28620,0.02862000
28,Water Works,28134,0.02813400
29,Marvin Gardens,27449,0.02744900
30,Go to Jail,27721,0.02772100
31,Pacific Avenue,28478,0.02847800
32,North Carolina Avenue,28486,0.02848600
33,Community Chest,31318,0.03131800
34,Pennsylvania Avenue,29715,0.02971500
35,Short Line Railroad,30006,0.03000600
36,Chance,30105,0.03010500
37,Park Place,30243,0.03024300
38,Luxury Tax,29367,0.02936700
39,Boardwalk,29027,0.02902700
