strategy,TryForDoubles
run,7
turns,1000
total_landings_recorded,1184
index,square,count,percentage
0,GO,32,0.03200000
1,Mediterranean Avenue,27,0.02700000
2,Community Chest,30,0.03000000
3,Baltic Avenue,20,0.02000000
4,Income Tax,23,0.02300000
5,Reading Railroad,30,0.03000000
6,Oriental Avenue,34,0.03400000
7,Chance,38,0.03800000
8,Vermont Avenue,30,0.03000000
9,Connecticut Avenue,32,0.03200000
10,In Jail (Just Visiting),37,0.03700000
11,St. Charles Place,25,0.02500000
12,Electric Company,31,0.03100000
13,States Avenue,31,0.03100000
14,Virginia Avenue,22,0.02200000
15,Pennsylvania Railroad,38,0.03800000
16,St. James Place,30,0.03000000
17,Community Chest,25,0.02500000
18,Tennessee Avenue,28,0.02800000
19,New York Avenue,40,0.04000000
20,Free Parking,25,0.02500000
21,Kentucky Avenue,32,0.03200000
22,Chance,27,0.02700000
23,Indiana Avenue,30,0.03000000
24,Illinois Avenue,22,0.02200000
25,B&O Railroad,33,0.03300000
26,Atlantic Avenue,38,0.03800000
27,Ventnor Avenue,25,0.02500000
28,Water Works,34,0.03400000
29,Marvin Gardens,26,0.02600000
30,Go to Jail,33,0.03300000
31,Pacific Avenue,27,0.02700000
32,North Carolina Avenue,23,0.02300000
33,Community Chest,35,0.03500000
34,Pennsylvania Avenue,30,0.03000000
35,Short Line Railroad,21,0.02100000
36,Chance,29,0.02900000
37,Park Place,34,0.03400000
38,Luxury Tax,24,0.02400000
39,Boardwalk,33,0.03300000
