strategy,TryForDoubles
run,7
turns,1000000
total_landings_recorded,1196381
index,square,count,percentage
0,GO,28256,0.02825600
1,Mediterranean Avenue,27899,0.02789900
2,Community Chest,28034,0.02803400
3,Baltic Avenue,28626,0.02862600
4,Income Tax,31857,0.03185700
5,Reading Railroad,31096,0.03109600
6,Oriental Avenue,31996,0.03199600
7,Chance,32665,0.03266500
8,Vermont Avenue,32322,0.03232200
9,Connecticut Avenue,32287,0.03228700
10,In Jail (Just Visiting),31274,0.03127400
11,St. Charles Place,30680,0.03068000
12,Electric Company,29628,0.02962800
13,States Avenue,28961,0.02896100
14,Virginia Avenue,28972,0.02897200
15,Pennsylvania Railroad,29834,0.02983400
16,St. James Place,30309,0.03030900
17,Community Chest,30420,0.03042000
18,Tennessee Avenue,30364,0.03036400
19,New York Avenue,32571,0.03257100
20,Free Parking,30536,0.03053600
21,Kentucky Avenue,30260,0.03026000
22,Chance,29980,0.02998000
23,Indiana Avenue,30193,0.03019300
24,Illinois Avenue,29447,0.02944700
25,B&O Railroad,29351,0.02935100
26,Atlantic Avenue,29295,0.02929500
27,Ventnor Avenue,28534,0.02853400
28,Water Works,28008,0.02800800
29,Marvin Gardens,27845,0.02784500
30,Go to Jail,28060,0.02806000
31,Pacific Avenue,28365,0.02836500
32,North Carolina Avenue,28634,0.02863400
33,Community Chest,31269,0.03126900
34,Pennsylvania Avenue,29712,0.02971200
35,Short Line Railroad,29898,0.02989800
36,Chance,30035,0.03003500
37,Park Place,30242,0.03024200
38,Luxury Tax,29575,0.02957500
39,Boardwalk,29091,0.02909100
