strategy,TryForDoubles
run,7
turns,10000
total_landings_recorded,11977
index,square,count,percentage
0,GO,281,0.02810000
1,Mediterranean Avenue,275,0.02750000
2,Community Chest,297,0.02970000
3,Baltic Avenue,290,0.02900000
4,Income Tax,321,0.03210000
5,Reading Railroad,294,0.02940000
6,Oriental Avenue,325,0.03250000
7,Chance,306,0.03060000
8,Vermont Avenue,331,0.03310000
9,Connecticut Avenue,317,0.03170000
10,In Jail (Just Visiting),350,0.03500000
11,St. Charles Place,302,0.03020000
12,Electric Company,299,0.02990000
13,States Avenue,286,0.02860000
14,Virginia Avenue,299,0.02990000
15,Pennsylvania Railroad,306,0.03060000
16,St. James Place,303,0.03030000
17,Community Chest,323,0.03230000
18,Tennessee Avenue,279,0.02790000
19,New York Avenue,332,0.03320000
20,Free Parking,291,0.02910000
21,Kentucky Avenue,316,0.03160000
22,Chance,289,0.02890000
23,Indiana Avenue,289,0.02890000
24,Illinois Avenue,288,0.02880000
25,B&O Railroad,316,0.03160000
26,Atlantic Avenue,273,0.02730000
27,Ventnor Avenue,280,0.02800000
28,Water Works,305,0.03050000
29,Marvin Gardens,282,0.02820000
30,Go to Jail,252,0.02520000
31,Pacific Avenue,302,0.03020000
32,North Carolina Avenue,289,0.02890000
33,Community Chest,309,0.03090000
34,Pennsylvania Avenue,302,0.03020000
35,Short Line Railroad,293,0.02930000
36,Chance,323,0.03230000
37,Park Place,312,0.03120000
38,Luxury Tax,270,0.02700000
39,Boardwalk,280,0.02800000
