strategy,TryForDoubles
run,9
turns,1000
total_landings_recorded,1206
index,square,count,percentage
0,GO,32,0.03200000
1,Mediterranean Avenue,36,0.03600000
2,Community Chest,35,0.03500000
3,Baltic Avenue,25,0.02500000
4,Income Tax,24,0.02400000
5,Reading Railroad,33,0.03300000
6,Oriental Avenue,36,0.03600000
7,Chance,27,0.02700000
8,Vermont Avenue,36,0.03600000
9,Connecticut Avenue,26,0.02600000
10,In Jail (Just Visiting),33,0.03300000
11,St. Charles Place,30,0.03000000
12,Electric Company,30,0.03000000
13,States Avenue,25,0.02500000
14,Virginia Avenue,35,0.03500000
15,Pennsylvania Railroad,32,0.03200000
16,St. James Place,39,0.03900000
17,Community Chest,22,0.02200000
18,Tennessee Avenue,27,0.02700000
19,New York Avenue,24,0.02400000
20,Free Parking,40,0.04000000
21,Kentucky Avenue,30,0.03000000
22,Chance,33,0.03300000
23,Indiana Avenue,30,0.03000000
24,Illinois Avenue,30,0.03000000
25,B&O Railroad,25,0.02500000
26,Atlantic Avenue,27,0.02700000
27,Ventnor Avenue,30,0.03000000
28,Water Works,30,0.03000000
29,Marvin Gardens,31,0.03100000
30,Go to Jail,23,0.02300000
31,Pacific Avenue,34,0.03400000
32,North Carolina Avenue,27,0.02700000
33,Community Chest,28,0.02800000
34,Pennsylvania Avenue,41,0.04100000
35,Short Line Railroad,33,0.03300000
36,Chance,30,0.03000000
37,Park Place,25,0.02500000
38,Luxury Tax,27,0.02700000
39,Boardwalk,25,0.02500000
