strategy,TryForDoubles
run,9
turns,100000
total_landings_recorded,119711
index,square,count,percentage
0,GO,2859,0.02859000
1,Mediterranean Avenue,2892,0.02892000
2,Community Chest,2850,0.02850000
3,Baltic Avenue,2942,0.02942000
4,Income Tax,3138,0.03138000
5,Reading Railroad,2986,0.02986000
6,Oriental Avenue,3110,0.03110000
7,Chance,3314,0.03314000
8,Vermont Avenue,3212,0.03212000
9,Connecticut Avenue,3287,0.03287000
10,In Jail (Just Visiting),3195,0.03195000
11,St. Charles Place,2986,0.02986000
12,Electric Company,2992,0.02992000
13,States Avenue,2906,0.02906000
14,Virginia Avenue,2872,0.02872000
15,Pennsylvania Railroad,3005,0.03005000
16,St. James Place,2946,0.02946000
17,Community Chest,3058,0.03058000
18,Tennessee Avenue,3140,0.03140000
19,New York Avenue,3244,0.03244000
20,Free Parking,3040,0.03040000
21,Kentucky Avenue,2983,0.02983000
22,Chance,2983,0.02983000
23,Indiana Avenue,2922,0.02922000
24,Illinois Avenue,2968,0.02968000
25,B&O Railroad,3077,0.03077000
26,Atlantic Avenue,2878,0.02878000
27,Ventnor Avenue,2867,0.02867000
28,Water Works,2784,0.02784000
29,Marvin Gardens,2727,0.02727000
30,Go to Jail,2806,0.02806000
31,Pacific Avenue,2962,0.02962000
32,North Carolina Avenue,2872,0.02872000
33,Community Chest,3123,0.03123000
34,Pennsylvania Avenue,2976,0.02976000
35,Short Line Railroad,3052,0.03052000
36,Chance,2880,0.02880000
37,Park Place,3020,0.03020000
38,Luxury Tax,2909,0.02909000
39,Boardwalk,2948,0.02948000
