strategy,TryForDoubles
run,9
turns,10000
total_landings_recorded,11943
index,square,count,percentage
0,GO,301,0.03010000
1,Mediterranean Avenue,309,0.03090000
2,Community Chest,285,0.02850000
3,Baltic Avenue,304,0.03040000
4,Income Tax,291,0.02910000
5,Reading Railroad,292,0.02920000
6,Oriental Avenue,305,0.03050000
7,Chance,357,0.03570000
8,Vermont Avenue,300,0.03000000
9,Connecticut Avenue,304,0.03040000
10,In Jail (Just Visiting),333,0.03330000
11,St. Charles Place,304,0.03040000
12,Electric Company,294,0.02940000
13,States Avenue,289,0.02890000
14,Virginia Avenue,291,0.02910000
15,Pennsylvania Railroad,284,0.02840000
16,St. James Place,303,0.03030000
17,Community Chest,335,0.03350000
18,Tennessee Avenue,295,0.02950000
19,New York Avenue,321,0.03210000
20,Free Parking,315,0.03150000
21,Kentucky Avenue,303,0.03030000
22,Chance,291,0.02910000
23,Indiana Avenue,284,0.02840000
24,Illinois Avenue,298,0.02980000
25,B&O Railroad,308,0.03080000
26,Atlantic Avenue,289,0.02890000
27,Ventnor Avenue,271,0.02710000
28,Water Works,284,0.02840000
29,Marvin Gardens,288,0.02880000
30,Go to Jail,265,0.02650000
31,Pacific Avenue,290,0.02900000
32,North Carolina Avenue,280,0.02800000
33,Community Chest,318,0.03180000
34,Pennsylvania Avenue,312,0.03120000
35,Short Line Railroad,317,0.03170000
36,Chance,284,0.02840000
37,Park Place,317,0.03170000
38,Luxury Tax,263,0.02630000
39,Boardwalk,269,0.02690000
