strategy,TryForDoubles
run,3
turns,1000000
total_landings_recorded,1195665
index,square,count,percentage
0,GO,28358,0.02835800
1,Mediterranean Avenue,27868,0.02786800
2,Community Chest,28325,0.02832500
3,Baltic Avenue,28636,0.02863600
4,Income Tax,31709,0.03170900
5,Reading Railroad,30957,0.03095700
6,Oriental Avenue,31871,0.03187100
7,Chance,33165,0.03316500
8,Vermont Avenue,32669,0.03266900
9,Connecticut Avenue,31670,0.03167000
10,In Jail (Just Visiting),30727,0.03072700
11,St. Charles Place,30844,0.03084400
12,Electric Company,29790,0.02979000
13,States Avenue,29326,0.02932600
14,Virginia Avenue,29029,0.02902900
15,Pennsylvania Railroad,29851,0.02985100
16,St. James Place,29959,0.02995900
17,Community Chest,30308,0.03030800
18,Tennessee Avenue,30374,0.03037400
19,New York Avenue,32298,0.03229800
20,Free Parking,30745,0.03074500
21,Kentucky Avenue,30374,0.03037400
22,Chance,30128,0.03012800
23,Indiana Avenue,29953,0.02995300
24,Illinois Avenue,29450,0.02945000
25,B&O Railroad,29418,0.02941800
26,Atlantic Avenue,29076,0.02907600
27,Ventnor Avenue,28323,0.02832300
28,Water Works,28043,0.02804300
29,Marvin Gardens,27875,0.02787500
30,Go to Jail,28038,0.02803800
31,Pacific Avenue,28175,0.02817500
32,North Carolina Avenue,28839,0.02883900
33,Community Chest,31130,0.03113000
34,Pennsylvania Avenue,29481,0.02948100
35,Short Line Railroad,29988,0.02998800
36,Chance,30064,0.03006400
37,Park Place,30456,0.03045600
38,Luxury Tax,29409,0.02940900
39,Boardwalk,28966,0.02896600
