strategy,TryForDoubles
run,3
turns,10000
total_landings_recorded,11951
index,square,count,percentage
0,GO,251,0.02510000
1,Mediterranean Avenue,262,0.02620000
2,Community Chest,300,0.03000000
3,Baltic Avenue,288,0.02880000
4,Income Tax,324,0.03240000
5,Reading Railroad,319,0.03190000
6,Oriental Avenue,333,0.03330000
7,Chance,339,0.03390000
8,Vermont Avenue,310,0.03100000
9,Connecticut Avenue,326,0.03260000
10,In Jail (Just Visiting),283,0.02830000
11,St. Charles Place,314,0.03140000
12,Electric Company,297,0.02970000
13,States Avenue,273,0.02730000
14,Virginia Avenue,305,0.03050000
15,Pennsylvania Railroad,298,0.02980000
16,St. James Place,299,0.02990000
17,Community Chest,312,0.03120000
18,Tennessee Avenue,301,0.03010000
19,New York Avenue,320,0.03200000
20,Free Parking,299,0.02990000
21,Kentucky Avenue,317,0.03170000
22,Chance,304,0.03040000
23,Indiana Avenue,278,0.02780000
24,Illinois Avenue,272,0.02720000
25,B&O Railroad,285,0.02850000
26,Atlantic Avenue,313,0.03130000
27,Ventnor Avenue,303,0.03030000
28,Water Works,296,0.02960000
29,Marvin Gardens,272,0.02720000
30,Go to Jail,268,0.02680000
31,Pacific Avenue,287,0.02870000
32,North Carolina Avenue,288,0.02880000
33,Community Chest,304,0.03040000
34,Pennsylvania Avenue,292,0.02920000
35,Short Line Railroad,291,0.02910000
36,Chance,313,0.03130000
37,Park Place,300,0.03000000
38,Luxury Tax,316,0.03160000
39,Boardwalk,299,0.02990000
