strategy,ImmediateExit
run,1
turns,100000
total_landings_recorded,119671
index,square,count,percentage
0,GO,2897,0.02897000
1,Mediterranean Avenue,2725,0.02725000
2,Community Chest,2875,0.02875000
3,Baltic Avenue,2816,0.02816000
4,Income Tax,3212,0.03212000
5,Reading Railroad,3086,0.03086000
6,Oriental Avenue,3200,0.03200000
7,Chance,3319,0.03319000
8,Vermont Avenue,3226,0.03226000
9,Connecticut Avenue,3171,0.03171000
10,In Jail (Just Visiting),3134,0.03134000
11,St. Charles Place,3048,0.03048000
12,Electric Company,2974,0.02974000
13,States Avenue,3026,0.03026000
14,Virginia Avenue,2925,0.02925000
15,Pennsylvania Railroad,2991,0.02991000
16,St. James Place,2949,0.02949000
17,Community Chest,3118,0.03118000
18,Tennessee Avenue,2949,0.02949000
19,New York Avenue,3233,0.03233000
20,Free Parking,3055,0.03055000
21,Kentucky Avenue,3072,0.03072000
22,Chance,3008,0.03008000
23,Indiana Avenue,2975,0.02975000
24,Illinois Avenue,2957,0.02957000
25,B&O Railroad,2918,0.02918000
26,Atlantic Avenue,2886,0.02886000
27,Ventnor Avenue,2869,0.02869000
28,Water Works,2703,0.02703000
29,Marvin Gardens,2852,0.02852000
30,Go to Jail,2824,0.02824000
31,Pacific Avenue,2746,0.02746000
32,North Carolina Avenue,2923,0.02923000
33,Community Chest,3118,0.03118000
34,Pennsylvania Avenue,3042,0.03042000
35,Short Line Railroad,3034,0.03034000
36,Chance,3005,0.03005000
37,Park Place,3009,0.03009000
38,Luxury Tax,2933,0.02933000
39,Boardwalk,2868,0.02868000
