strategy,TryForDoubles
run,6
turns,10000
total_landings_recorded,11976
index,square,count,percentage
0,GO,271,0.02710000
1,Mediterranean Avenue,277,0.02770000
2,Community Chest,312,0.03120000
3,Baltic Avenue,294,0.02940000
4,Income Tax,300,0.03000000
5,Reading Railroad,287,0.02870000
6,Oriental Avenue,324,0.03240000
7,Chance,305,0.03050000
8,Vermont Avenue,331,0.03310000
9,Connecticut Avenue,297,0.02970000
10,In Jail (Just Visiting),320,0.03200000
11,St. Charles Place,315,0.03150000
12,Electric Company,299,0.02990000
13,States Avenue,270,0.02700000
14,Virginia Avenue,321,0.03210000
15,Pennsylvania Railroad,298,0.02980000
16,St. James Place,318,0.03180000
17,Community Chest,296,0.02960000
18,Tennessee Avenue,290,0.02900000
19,New York Avenue,322,0.03220000
20,Free Parking,331,0.03310000
21,Kentucky Avenue,297,0.02970000
22,Chance,308,0.03080000
23,Indiana Avenue,293,0.02930000
24,Illinois Avenue,322,0.03220000
25,B&O Railroad,326,0.03260000
26,Atlantic Avenue,284,0.02840000
27,Ventnor Avenue,270,0.02700000
28,Water Works,263,0.02630000
29,Marvin Gardens,256,0.02560000
30,Go to Jail,270,0.02700000
31,Pacific Avenue,283,0.02830000
32,North Carolina Avenue,324,0.03240000
33,Community Chest,307,0.03070000
34,Pennsylvania Avenue,307,0.03070000
35,Short Line Railroad,293,0.02930000
36,Chance,315,0.03150000
37,Park Place,292,0.02920000
38,Luxury Tax,284,0.02840000
39,Boardwalk,304,0.03040000
