strategy,TryForDoubles
run,1
turns,1000000
total_landings_recorded,1196200
index,square,count,percentage
0,GO,28296,0.02829600
1,Mediterranean Avenue,28227,0.02822700
2,Community Chest,28262,0.02826200
3,Baltic Avenue,28999,0.02899900
4,Income Tax,31825,0.03182500
5,Reading Railroad,30647,0.03064700
6,Oriental Avenue,31732,0.03173200
7,Chance,33090,0.03309000
8,Vermont Avenue,32586,0.03258600
9,Connecticut Avenue,31580,0.03158000
10,In Jail (Just Visiting),31072,0.03107200
11,St. Charles Place,30594,0.03059400
12,Electric Company,29697,0.02969700
13,States Avenue,29325,0.02932500
14,Virginia Avenue,29151,0.02915100
15,Pennsylvania Railroad,30064,0.03006400
16,St. James Place,30016,0.03001600
17,Community Chest,30017,0.03001700
18,Tennessee Avenue,30456,0.03045600
19,New York Avenue,32680,0.03268000
20,Free Parking,30631,0.03063100
21,Kentucky Avenue,30130,0.03013000
22,Chance,30235,0.03023500
23,Indiana Avenue,30252,0.03025200
24,Illinois Avenue,29254,0.02925400
25,B&O Railroad,29581,0.02958100
26,Atlantic Avenue,28728,0.02872800
27,Ventnor Avenue,28572,0.02857200
28,Water Works,28048,0.02804800
29,Marvin Gardens,27680,0.02768000
30,Go to Jail,28329,0.02832900
31,Pacific Avenue,28197,0.02819700
32,North Carolina Avenue,28721,0.02872100
33,Community Chest,31154,0.03115400
34,Pennsylvania Avenue,29587,0.02958700
35,Short Line Railroad,30113,0.03011300
36,Chance,30006,0.03000600
37,Park Place,30000,0.03000000
38,Luxury Tax,29735,0.02973500
39,Boardwalk,28931,0.02893100
