strategy,TryForDoubles
run,1
turns,100000
total_landings_recorded,119526
index,square,count,percentage
0,GO,2840,0.02840000
1,Mediterranean Avenue,2844,0.02844000
2,Community Chest,2753,0.02753000
3,Baltic Avenue,2934,0.02934000
4,Income Tax,3177,0.03177000
5,Reading Railroad,3070,0.03070000
6,Oriental Avenue,3085,0.03085000
7,Chance,3351,0.03351000
8,Vermont Avenue,3178,0.03178000
9,Connecticut Avenue,3171,0.03171000
10,In Jail (Just Visiting),3235,0.03235000
11,St. Charles Place,3084,0.03084000
12,Electric Company,2955,0.02955000
13,States Avenue,2930,0.02930000
14,Virginia Avenue,2882,0.02882000
15,Pennsylvania Railroad,3060,0.03060000
16,St. James Place,2936,0.02936000
17,Community Chest,2945,0.02945000
18,Tennessee Avenue,3100,0.03100000
19,New York Avenue,3347,0.03347000
20,Free Parking,2999,0.02999000
21,Kentucky Avenue,2963,0.02963000
22,Chance,3097,0.03097000
23,Indiana Avenue,3007,0.03007000
24,Illinois Avenue,2871,0.02871000
25,B&O Railroad,3011,0.03011000
26,Atlantic Avenue,2865,0.02865000
27,Ventnor Avenue,2895,0.02895000
28,Water Works,2775,0.02775000
29,Marvin Gardens,2803,0.02803000
30,Go to Jail,2794,0.02794000
31,Pacific Avenue,2776,0.02776000
32,North Carolina Avenue,2898,0.02898000
33,Community Chest,3072,0.03072000
34,Pennsylvania Avenue,3026,0.03026000
35,Short Line Railroad,2998,0.02998000
36,Chance,2948,0.02948000
37,Park Place,3023,0.03023000
38,Luxury Tax,2996,0.02996000
39,Boardwalk,2832,0.02832000
