strategy,TryForDoubles
run,8
turns,10000
total_landings_recorded,11959
index,square,count,percentage
0,GO,279,0.02790000
1,Mediterranean Avenue,292,0.02920000
2,Community Chest,277,0.02770000
3,Baltic Avenue,292,0.02920000
4,Income Tax,311,0.03110000
5,Reading Railroad,302,0.03020000
6,Oriental Avenue,305,0.03050000
7,Chance,321,0.03210000
8,Vermont Avenue,313,0.03130000
9,Connecticut Avenue,329,0.03290000
10,In Jail (Just Visiting),342,0.03420000
11,St. Charles Place,323,0.03230000
12,Electric Company,270,0.02700000
13,States Avenue,266,0.02660000
14,Virginia Avenue,285,0.02850000
15,Pennsylvania Railroad,317,0.03170000
16,St. James Place,293,0.02930000
17,Community Chest,322,0.03220000
18,Tennessee Avenue,310,0.03100000
19,New York Avenue,323,0.03230000
20,Free Parking,303,0.03030000
21,Kentucky Avenue,289,0.02890000
22,Chance,313,0.03130000
23,Indiana Avenue,286,0.02860000
24,Illinois Avenue,306,0.03060000
25,B&O Railroad,305,0.03050000
26,Atlantic Avenue,286,0.02860000
27,Ventnor Avenue,283,0.02830000
28,Water Works,296,0.02960000
29,Marvin Gardens,292,0.02920000
30,Go to Jail,266,0.02660000
31,Pacific Avenue,290,0.02900000
32,North Carolina Avenue,304,0.03040000
33,Community Chest,314,0.03140000
34,Pennsylvania Avenue,279,0.02790000
35,Short Line Railroad,320,0.03200000
36,Chance,294,0.02940000
37,Park Place,288,0.02880000
38,Luxury Tax,308,0.03080000
39,Boardwalk,265,0.02650000
