strategy,TryForDoubles
run,8
turns,100000
total_landings_recorded,119727
index,square,count,percentage
0,GO,2896,0.02896000
1,Mediterranean Avenue,2779,0.02779000
2,Community Chest,2769,0.02769000
3,Baltic Avenue,2878,0.02878000
4,Income Tax,3216,0.03216000
5,Reading Railroad,3097,0.03097000
6,Oriental Avenue,3068,0.03068000
7,Chance,3367,0.03367000
8,Vermont Avenue,3271,0.03271000
9,Connecticut Avenue,3213,0.03213000
10,In Jail (Just Visiting),3224,0.03224000
11,St. Charles Place,3079,0.03079000
12,Electric Company,2879,0.02879000
13,States Avenue,2747,0.02747000
14,Virginia Avenue,2879,0.02879000
15,Pennsylvania Railroad,3009,0.03009000
16,St. James Place,3069,0.03069000
17,Community Chest,3072,0.03072000
18,Tennessee Avenue,3097,0.03097000
19,New York Avenue,3307,0.03307000
20,Free Parking,3045,0.03045000
21,Kentucky Avenue,3079,0.03079000
22,Chance,2953,0.02953000
23,Indiana Avenue,2998,0.02998000
24,Illinois Avenue,3033,0.03033000
25,B&O Railroad,2947,0.02947000
26,Atlantic Avenue,2863,0.02863000
27,Ventnor Avenue,2857,0.02857000
28,Water Works,2862,0.02862000
29,Marvin Gardens,2789,0.02789000
30,Go to Jail,2739,0.02739000
31,Pacific Avenue,2837,0.02837000
32,North Carolina Avenue,2927,0.02927000
33,Community Chest,3140,0.03140000
34,Pennsylvania Avenue,2965,0.02965000
35,Short Line Railroad,3044,0.03044000
36,Chance,2901,0.02901000
37,Park Place,3011,0.03011000
38,Luxury Tax,2939,0.02939000
39,Boardwalk,2882,0.02882000
