strategy,TryForDoubles
run,8
turns,1000
total_landings_recorded,1210
index,square,count,percentage
0,GO,38,0.03800000
1,Mediterranean Avenue,29,0.02900000
2,Community Chest,33,0.03300000
3,Baltic Avenue,31,0.03100000
4,Income Tax,29,0.02900000
5,Reading Railroad,20,0.02000000
6,Oriental Avenue,37,0.03700000
7,Chance,33,0.03300000
8,Vermont Avenue,38,0.03800000
9,Connecticut Avenue,34,0.03400000
10,In Jail (Just Visiting),31,0.03100000
11,St. Charles Place,34,0.03400000
12,Electric Company,30,0.03000000
13,States Avenue,26,0.02600000
14,Virginia Avenue,29,0.02900000
15,Pennsylvania Railroad,30,0.03000000
16,St. James Place,25,0.02500000
17,Community Chest,32,0.03200000
18,Tennessee Avenue,34,0.03400000
19,New York Avenue,32,0.03200000
20,Free Parking,28,0.02800000
21,Kentucky Avenue,29,0.02900000
22,Chance,39,0.03900000
23,Indiana Avenue,28,0.02800000
24,Illinois Avenue,26,0.02600000
25,B&O Railroad,36,0.03600000
26,Atlantic Avenue,21,0.02100000
27,Ventnor Avenue,25,0.02500000
28,Water Works,32,0.03200000
29,Marvin Gardens,32,0.03200000
30,Go to Jail,30,0.03000000
31,Pacific Avenue,25,0.02500000
32,North Carolina Avenue,25,0.02500000
33,Community Chest,39,0.03900000
34,Pennsylvania Avenue,27,0.02700000
35,Short Line Railroad,39,0.03900000
36,Chance,26,0.02600000
37,Park Place,23,0.02300000
38,Luxury Tax,32,0.03200000
39,Boardwalk,23,0.02300000
