strategy,ImmediateExit
run,8
turns,100000
total_landings_recorded,119706
index,square,count,percentage
0,GO,2808,0.02808000
1,Mediterranean Avenue,2833,0.02833000
2,Community Chest,2758,0.02758000
3,Baltic Avenue,2927,0.02927000
4,Income Tax,3238,0.03238000
5,Reading Railroad,3001,0.03001000
6,Oriental Avenue,3156,0.03156000
7,Chance,3226,0.03226000
8,Vermont Avenue,3259,0.03259000
9,Connecticut Avenue,3249,0.03249000
10,In Jail (Just Visiting),3130,0.03130000
11,St. Charles Place,3089,0.03089000
12,Electric Company,3004,0.03004000
13,States Avenue,2937,0.02937000
14,Virginia Avenue,2858,0.02858000
15,Pennsylvania Railroad,2983,0.02983000
16,St. James Place,2950,0.02950000
17,Community Chest,3095,0.03095000
18,Tennessee Avenue,3079,0.03079000
19,New York Avenue,3267,0.03267000
20,Free Parking,3138,0.03138000
21,Kentucky Avenue,2987,0.02987000
22,Chance,2985,0.02985000
23,Indiana Avenue,2906,0.02906000
24,Illinois Avenue,2991,0.02991000
25,B&O Railroad,2872,0.02872000
26,Atlantic Avenue,2914,0.02914000
27,Ventnor Avenue,2796,0.02796000
28,Water Works,2894,0.02894000
29,Marvin Gardens,2804,0.02804000
30,Go to Jail,2780,0.02780000
31,Pacific Avenue,2864,0.02864000
32,North Carolina Avenue,2853,0.02853000
33,Community Chest,3084,0.03084000
34,Pennsylvania Avenue,3004,0.03004000
35,Short Line Railroad,3047,0.03047000
36,Chance,2908,0.02908000
37,Park Place,3051,0.03051000
38,Luxury Tax,3010,0.03010000
39,Boardwalk,2971,0.02971000
