strategy,ImmediateExit
run,8
turns,1000000
total_landings_recorded,1196728
index,square,count,percentage
0,GO,28423,0.02842300
1,Mediterranean Avenue,27961,0.02796100
2,Community Chest,28283,0.02828300
3,Baltic Avenue,28522,0.02852200
4,Income Tax,31948,0.03194800
5,Reading Railroad,30720,0.03072000
6,Oriental Avenue,31773,0.03177300
7,Chance,32866,0.03286600
8,Vermont Avenue,32724,0.03272400
9,Connecticut Avenue,31912,0.03191200
10,In Jail (Just Visiting),31323,0.03132300
11,St. Charles Place,30527,0.03052700
12,Electric Company,29892,0.02989200
13,States Avenue,29209,0.02920900
14,Virginia Avenue,29193,0.02919300
15,Pennsylvania Railroad,29904,0.02990400
16,St. James Place,29864,0.02986400
17,Community Chest,30387,0.03038700
18,Tennessee Avenue,30172,0.03017200
19,New York Avenue,32538,0.03253800
20,Free Parking,30826,0.03082600
21,Kentucky Avenue,30414,0.03041400
22,Chance,30193,0.03019300
23,Indiana Avenue,30066,0.03006600
24,Illinois Avenue,29548,0.02954800
25,B&O Railroad,29006,0.02900600
26,Atlantic Avenue,28762,0.02876200
27,Ventnor Avenue,28633,0.02863300
28,Water Works,28315,0.02831500
29,Marvin Gardens,27859,0.02785900
30,Go to Jail,28105,0.02810500
31,Pacific Avenue,28528,0.02852800
32,North Carolina Avenue,28740,0.02874000
33,Community Chest,30844,0.03084400
34,Pennsylvania Avenue,29466,0.02946600
35,Short Line Railroad,30153,0.03015300
36,Chance,30008,0.03000800
37,Park Place,30330,0.03033000
38,Luxury Tax,29650,0.02965000
39,Boardwalk,29141,0.02914100
