strategy,ImmediateExit
run,9
turns,100000
total_landings_recorded,119547
index,square,count,percentage
0,GO,2819,0.02819000
1,Mediterranean Avenue,2791,0.02791000
2,Community Chest,2810,0.02810000
3,Baltic Avenue,2928,0.02928000
4,Income Tax,3178,0.03178000
5,Reading Railroad,3083,0.03083000
6,Oriental Avenue,3169,0.03169000
7,Chance,3245,0.03245000
8,Vermont Avenue,3294,0.03294000
9,Connecticut Avenue,3075,0.03075000
10,In Jail (Just Visiting),3194,0.03194000
11,St. Charles Place,3060,0.03060000
12,Electric Company,3033,0.03033000
13,States Avenue,2984,0.02984000
14,Virginia Avenue,2860,0.02860000
15,Pennsylvania Railroad,3018,0.03018000
16,St. James Place,3046,0.03046000
17,Community Chest,2995,0.02995000
18,Tennessee Avenue,3025,0.03025000
19,New York Avenue,3221,0.03221000
20,Free Parking,3058,0.03058000
21,Kentucky Avenue,2974,0.02974000
22,Chance,3078,0.03078000
23,Indiana Avenue,2942,0.02942000
24,Illinois Avenue,2932,0.02932000
25,B&O Railroad,2907,0.02907000
26,Atlantic Avenue,2940,0.02940000
27,Ventnor Avenue,2847,0.02847000
28,Water Works,2849,0.02849000
29,Marvin Gardens,2755,0.02755000
30,Go to Jail,2852,0.02852000
31,Pacific Avenue,2774,0.02774000
32,North Carolina Avenue,2842,0.02842000
33,Community Chest,3009,0.03009000
34,Pennsylvania Avenue,2989,0.02989000
35,Short Line Railroad,3057,0.03057000
36,Chance,2996,0.02996000
37,Park Place,3024,0.03024000
38,Luxury Tax,2913,0.02913000
39,Boardwalk,2981,0.02981000
