strategy,ImmediateExit
run,9
turns,1000000
total_landings_recorded,1196077
index,square,count,percentage
0,GO,28347,0.02834700
1,Mediterranean Avenue,28179,0.02817900
2,Community Chest,28266,0.02826600
3,Baltic Avenue,28618,0.02861800
4,Income Tax,32091,0.03209100
5,Reading Railroad,30491,0.03049100
6,Oriental Avenue,31787,0.03178700
7,Chance,33053,0.03305300
8,Vermont Avenue,32767,0.03276700
9,Connecticut Avenue,31641,0.03164100
10,In Jail (Just Visiting),30929,0.03092900
11,St. Charles Place,30752,0.03075200
12,Electric Company,30121,0.03012100
13,States Avenue,29109,0.02910900
14,Virginia Avenue,29045,0.02904500
15,Pennsylvania Railroad,29978,0.02997800
16,St. James Place,30058,0.03005800
17,Community Chest,30171,0.03017100
18,Tennessee Avenue,30225,0.03022500
19,New York Avenue,32176,0.03217600
20,Free Parking,30734,0.03073400
21,Kentucky Avenue,30406,0.03040600
22,Chance,30452,0.03045200
23,Indiana Avenue,29933,0.02993300
24,Illinois Avenue,29166,0.02916600
25,B&O Railroad,29335,0.02933500
26,Atlantic Avenue,28843,0.02884300
27,Ventnor Avenue,28744,0.02874400
28,Water Works,27911,0.02791100
29,Marvin Gardens,27953,0.02795300
30,Go to Jail,28371,0.02837100
31,Pacific Avenue,28174,0.02817400
32,North Carolina Avenue,28823,0.02882300
33,Community Chest,30939,0.03093900
34,Pennsylvania Avenue,29611,0.02961100
35,Short Line Railroad,29919,0.02991900
36,Chance,30241,0.03024100
37,Park Place,30446,0.03044600
38,Luxury Tax,29402,0.02940200
39,Boardwalk,28870,0.02887000
