strategy,ImmediateExit
run,5
turns,10000
total_landings_recorded,11879
index,square,count,percentage
0,GO,294,0.02940000
1,Mediterranean Avenue,292,0.02920000
2,Community Chest,272,0.02720000
3,Baltic Avenue,253,0.02530000
4,Income Tax,313,0.03130000
5,Reading Railroad,316,0.03160000
6,Oriental Avenue,314,0.03140000
7,Chance,343,0.03430000
8,Vermont Avenue,320,0.03200000
9,Connecticut Avenue,317,0.03170000
10,In Jail (Just Visiting),294,0.02940000
11,St. Charles Place,303,0.03030000
12,Electric Company,296,0.02960000
13,States Avenue,311,0.03110000
14,Virginia Avenue,283,0.02830000
15,Pennsylvania Railroad,266,0.02660000
16,St. James Place,307,0.03070000
17,Community Chest,296,0.02960000
18,Tennessee Avenue,320,0.03200000
19,New York Avenue,314,0.03140000
20,Free Parking,313,0.03130000
21,Kentucky Avenue,286,0.02860000
22,Chance,311,0.03110000
23,Indiana Avenue,292,0.02920000
24,Illinois Avenue,306,0.03060000
25,B&O Railroad,291,0.02910000
26,Atlantic Avenue,269,0.02690000
27,Ventnor Avenue,281,0.02810000
28,Water Works,291,0.02910000
29,Marvin Gardens,305,0.03050000
30,Go to Jail,278,0.02780000
31,Pacific Avenue,259,0.02590000
32,North Carolina Avenue,282,0.02820000
33,Community Chest,333,0.03330000
34,Pennsylvania Avenue,301,0.03010000
35,Short Line Railroad,275,0.02750000
36,Chance,284,0.02840000
37,Park Place,303,0.03030000
38,Luxury Tax,278,0.02780000
39,Boardwalk,317,0.03170000
