strategy,ImmediateExit
run,5
turns,1000
total_landings_recorded,1188
index,square,count,percentage
0,GO,31,0.03100000
1,Mediterranean Avenue,33,0.03300000
2,Community Chest,23,0.02300000
3,Baltic Avenue,29,0.02900000
4,Income Tax,33,0.03300000
5,Reading Railroad,23,0.02300000
6,Oriental Avenue,23,0.02300000
7,Chance,42,0.04200000
8,Vermont Avenue,37,0.03700000
9,Connecticut Avenue,26,0.02600000
10,In Jail (Just Visiting),29,0.02900000
11,St. Charles Place,32,0.03200000
12,Electric Company,29,0.02900000
13,States Avenue,30,0.03000000
14,Virginia Avenue,23,0.02300000
15,Pennsylvania Railroad,29,0.02900000
16,St. James Place,27,0.02700000
17,Community Chest,34,0.03400000
18,Tennessee Avenue,27,0.02700000
19,New York Avenue,45,0.04500000
20,Free Parking,24,0.02400000
21,Kentucky Avenue,26,0.02600000
22,Chance,25,0.02500000
23,Indiana Avenue,35,0.03500000
24,Illinois Avenue,20,0.02000000
25,B&O Railroad,33,0.03300000
26,Atlantic Avenue,31,0.03100000
27,Ventnor Avenue,27,0.02700000
28,Water Works,43,0.04300000
29,Marvin Gardens,27,0.02700000
30,Go to Jail,21,0.02100000
31,Pacific Avenue,28,0.02800000
32,North Carolina Avenue,25,0.02500000
33,Community Chest,27,0.02700000
34,Pennsylvania Avenue,26,0.02600000
35,Short Line Railroad,36,0.03600000
36,Chance,34,0.03400000
37,Park Place,37,0.03700000
38,Luxury Tax,24,0.02400000
39,Boardwalk,34,0.03400000
