strategy,ImmediateExit
run,7
turns,10000
total_landings_recorded,12041
index,square,count,percentage
0,GO,283,0.02830000
1,Mediterranean Avenue,296,0.02960000
2,Community Chest,274,0.02740000
3,Baltic Avenue,277,0.02770000
4,Income Tax,324,0.03240000
5,Reading Railroad,323,0.03230000
6,Oriental Avenue,295,0.02950000
7,Chance,350,0.03500000
8,Vermont Avenue,365,0.03650000
9,Connecticut Avenue,294,0.02940000
10,In Jail (Just Visiting),328,0.03280000
11,St. Charles Place,284,0.02840000
12,Electric Company,302,0.03020000
13,States Avenue,304,0.03040000
14,Virginia Avenue,302,0.03020000
15,Pennsylvania Railroad,312,0.03120000
16,St. James Place,308,0.03080000
17,Community Chest,268,0.02680000
18,Tennessee Avenue,305,0.03050000
19,New York Avenue,306,0.03060000
20,Free Parking,327,0.03270000
21,Kentucky Avenue,317,0.03170000
22,Chance,319,0.03190000
23,Indiana Avenue,310,0.03100000
24,Illinois Avenue,286,0.02860000
25,B&O Railroad,285,0.02850000
26,Atlantic Avenue,298,0.02980000
27,Ventnor Avenue,256,0.02560000
28,Water Works,288,0.02880000
29,Marvin Gardens,275,0.02750000
30,Go to Jail,290,0.02900000
31,Pacific Avenue,311,0.03110000
32,North Carolina Avenue,303,0.03030000
33,Community Chest,320,0.03200000
34,Pennsylvania Avenue,282,0.02820000
35,Short Line Railroad,279,0.02790000
36,Chance,273,0.02730000
37,Park Place,324,0.03240000
38,Luxury Tax,301,0.03010000
39,Boardwalk,297,0.02970000
