strategy,TryForDoubles
run,5
turns,10000
total_landings_recorded,12051
index,square,count,percentage
0,GO,301,0.03010000
1,Mediterranean Avenue,268,0.02680000
2,Community Chest,273,0.02730000
3,Baltic Avenue,278,0.02780000
4,Income Tax,323,0.03230000
5,Reading Railroad,306,0.03060000
6,Oriental Avenue,334,0.03340000
7,Chance,321,0.03210000
8,Vermont Avenue,317,0.03170000
9,Connecticut Avenue,333,0.03330000
10,In Jail (Just Visiting),304,0.03040000
11,St. Charles Place,306,0.03060000
12,Electric Company,316,0.03160000
13,States Avenue,286,0.02860000
14,Virginia Avenue,296,0.02960000
15,Pennsylvania Railroad,301,0.03010000
16,St. James Place,303,0.03030000
17,Community Chest,318,0.03180000
18,Tennessee Avenue,323,0.03230000
19,New York Avenue,314,0.03140000
20,Free Parking,293,0.02930000
21,Kentucky Avenue,292,0.02920000
22,Chance,322,0.03220000
23,Indiana Avenue,311,0.03110000
24,Illinois Avenue,302,0.03020000
25,B&O Railroad,297,0.02970000
26,Atlantic Avenue,292,0.02920000
27,Ventnor Avenue,269,0.02690000
28,Water Works,300,0.03000000
29,Marvin Gardens,260,0.02600000
30,Go to Jail,283,0.02830000
31,Pacific Avenue,278,0.02780000
32,North Carolina Avenue,306,0.03060000
33,Community Chest,323,0.03230000
34,Pennsylvania Avenue,296,0.02960000
35,Short Line Railroad,280,0.02800000
36,Chance,328,0.03280000
37,Park Place,309,0.03090000
38,Luxury Tax,305,0.03050000
39,Boardwalk,284,0.02840000
