strategy,TryForDoubles
run,5
turns,100000
total_landings_recorded,119936
index,square,count,percentage
0,GO,2703,0.02703000
1,Mediterranean Avenue,2856,0.02856000
2,Community Chest,2871,0.02871000
3,Baltic Avenue,2885,0.02885000
4,Income Tax,3151,0.03151000
5,Reading Railroad,3045,0.03045000
6,Oriental Avenue,3212,0.03212000
7,Chance,3310,0.03310000
8,Vermont Avenue,3273,0.03273000
9,Connecticut Avenue,3213,0.03213000
10,In Jail (Just Visiting),3135,0.03135000
11,St. Charles Place,3054,0.03054000
12,Electric Company,3023,0.03023000
13,States Avenue,2887,0.02887000
14,Virginia Avenue,2920,0.02920000
15,Pennsylvania Railroad,3019,0.03019000
16,St. James Place,3018,0.03018000
17,Community Chest,3136,0.03136000
18,Tennessee Avenue,3058,0.03058000
19,New York Avenue,3261,0.03261000
20,Free Parking,2914,0.02914000
21,Kentucky Avenue,2963,0.02963000
22,Chance,3110,0.03110000
23,Indiana Avenue,3074,0.03074000
24,Illinois Avenue,3007,0.03007000
25,B&O Railroad,2857,0.02857000
26,Atlantic Avenue,2931,0.02931000
27,Ventnor Avenue,2751,0.02751000
28,Water Works,2891,0.02891000
29,Marvin Gardens,2815,0.02815000
30,Go to Jail,2812,0.02812000
31,Pacific Avenue,2770,0.02770000
32,North Carolina Avenue,2883,0.02883000
33,Community Chest,3138,0.03138000
34,Pennsylvania Avenue,2981,0.02981000
35,Short Line Railroad,3014,0.03014000
36,Chance,3103,0.03103000
37,Park Place,2997,0.02997000
38,Luxury Tax,2907,0.02907000
39,Boardwalk,2988,0.02988000
